rep,nl_pct,mfcc_pct,covarep_pct
134,26.098781151775917,34.50840676741732,39.39281208080677
135,25.883362824324053,34.33512149269747,39.78151568297847
136,21.800849086515914,38.14364843978729,40.055502473696784
137,28.75438770065909,44.794209805318225,26.451402494022684
138,26.549469136998372,36.848490528693155,36.60204033430847
139,25.640155195225702,40.00029421561109,34.35955058916322
140,27.33307088583445,42.47335248642358,30.193576627741965
141,26.16635164007505,42.09549454073666,31.738153819188298
142,26.15021184081318,37.77307259098864,36.07671556819819
143,26.38575069978082,40.48330313345552,33.13094616676366
144,24.98197699895116,44.58584627576023,30.432176725288617
145,24.277742775674817,50.07899352347847,25.643263700846717
146,28.934679722871312,46.504795644846126,24.560524632282572
147,23.648814651052923,37.10414732514485,39.24703802380222
148,25.44049223952434,37.90704782191463,36.65245993856104
149,28.22544840878525,38.22178236741035,33.5527692238044
150,28.566378574455307,39.97483605611104,31.458785369433667
151,26.801943453721083,42.84432707682822,30.353729469450695
152,25.348827901249695,37.679095933659234,36.97207616509108
153,26.586662099121945,47.92960208426491,25.483735816613144
154,24.19017325276056,38.974933317079284,36.83489343016015
155,25.85062378751931,36.170914794597316,37.97846141788337
156,28.72487526094228,38.81573585506781,32.459388883989924
157,22.85505993239046,44.413869793283396,32.73107027432615
158,27.457099519228365,42.47836282261328,30.064537658158358
159,28.104211159721313,40.933918753887845,30.961870086390842
160,28.62144537921429,43.53405824847198,27.844496372313735
161,28.275163216821745,37.87614020228274,33.84869658089553
162,22.974676302377933,40.04316342210985,36.98216027551223
163,27.588398857706927,40.22549849582572,32.186102646467354
164,22.832135347045526,43.66410750946091,33.503757143493566
165,26.263081648439055,36.58650511772889,37.15041323383204
166,25.592345202444374,36.800309383704075,37.60734541385154
167,27.40605924121013,39.11837810231675,33.47556265647312
168,24.99128636840783,37.20875646757201,37.799957164020164
169,27.381230928189314,42.17226994951129,30.4464991222994
170,27.261216518559486,37.13775621919648,35.601027262244024
171,24.82769397541265,44.43085771755168,30.741448307035668
172,27.543044541284743,41.56661506211988,30.890340396595384
173,28.179409701828188,36.620013470947924,35.20057682722389
174,27.77743676078163,42.03246111528972,30.190102123928643
175,28.357855377286892,36.81349452863226,34.82865009408085
176,23.095759095089864,37.475260731302185,39.428980173607954
177,23.23961146584997,40.10740911886218,36.65297941528786
178,22.99101935185723,45.307383481108026,31.701597167034745
179,24.897237493855446,40.58320628020205,34.519556225942516
180,25.448712830226878,42.595786147408745,31.955501022364377
181,26.24474939432551,36.229204811039594,37.52604579463489
182,27.52503852213594,44.942488957023414,27.532472520840635
183,29.407128749274843,40.08874361211516,30.504127638609994
184,24.166123526999787,45.37470382202665,30.459172650973567
185,24.066707850484132,41.06426638188368,34.8690257676322
